Iteration,Row,Col,Value,Policy
0,0,0,-1.0,UP
0,0,1,-1.0,UP
0,0,2,-1.0,UP
0,0,3,-1.0,UP
0,0,4,-1.0,UP
0,0,6,-1.0,UP
0,0,7,-1.0,UP
0,0,8,-1.0,UP
0,0,9,-1.0,UP
0,1,0,-1.0,UP
0,1,1,-1.0,UP
0,1,2,-1.0,UP
0,1,3,-1.0,UP
0,1,4,-1.0,UP
0,1,6,-1.0,UP
0,1,7,-1.0,UP
0,1,8,-1.0,UP
0,1,9,-1.0,UP
0,2,0,-1.0,UP
0,2,1,-1.0,UP
0,2,2,-1.0,UP
0,2,3,-1.0,UP
0,2,4,-1.0,UP
0,2,5,-1.0,DOWN
0,2,6,-1.0,UP
0,2,7,-1.0,UP
0,2,8,-1.0,UP
0,2,9,-1.0,UP
0,3,0,-1.0,UP
0,3,1,-1.0,UP
0,3,2,-1.0,UP
0,3,5,-1.0,UP
0,3,6,-1.0,UP
0,3,7,-1.0,UP
0,3,8,-1.0,UP
0,3,9,-1.0,UP
0,4,0,-1.0,UP
0,4,1,-1.0,UP
0,4,2,-1.0,UP
0,4,4,-1.0,RIGHT
0,4,5,-1.0,UP
0,4,6,-1.0,UP
0,4,7,-1.0,UP
0,4,8,-1.0,UP
0,4,9,-1.0,UP
0,5,6,-1.0,UP
0,5,7,-1.0,UP
0,5,8,-1.0,UP
0,5,9,-1.0,UP
0,6,0,-1.0,DOWN
0,6,1,-1.0,DOWN
0,6,2,-1.0,LEFT
0,6,3,-1.0,DOWN
0,6,4,-1.0,DOWN
0,6,5,-1.0,DOWN
0,6,6,-1.0,UP
0,6,8,-1.0,UP
0,6,9,-1.0,UP
0,7,0,-1.0,UP
0,7,1,-1.0,UP
0,7,3,-1.0,UP
0,7,4,-1.0,UP
0,7,5,-1.0,UP
0,7,6,-1.0,UP
0,7,7,-1.0,DOWN
0,7,8,-1.0,UP
0,7,9,-1.0,UP
0,8,0,-1.0,UP
0,8,1,-1.0,UP
0,8,2,-1.0,DOWN
0,8,3,-1.0,UP
0,8,4,-1.0,UP
0,8,5,-1.0,UP
0,8,6,-1.0,UP
0,8,7,-1.0,UP
0,8,8,-1.0,UP
0,8,9,9.0,DOWN
0,9,0,-1.0,UP
0,9,1,-1.0,UP
0,9,2,-1.0,UP
0,9,3,-1.0,UP
0,9,4,-1.0,UP
0,9,5,-1.0,UP
0,9,6,-1.0,UP
0,9,7,-1.0,UP
0,9,8,9.0,RIGHT
1,0,0,-1.9,UP
1,0,1,-1.9,UP
1,0,2,-1.9,UP
1,0,3,-1.9,UP
1,0,4,-1.9,UP
1,0,6,-1.9,UP
1,0,7,-1.9,UP
1,0,8,-1.9,UP
1,0,9,-1.9,UP
1,1,0,-1.9,UP
1,1,1,-1.9,UP
1,1,2,-1.9,UP
1,1,3,-1.9,UP
1,1,4,-1.9,UP
1,1,6,-1.9,UP
1,1,7,-1.9,UP
1,1,8,-1.9,UP
1,1,9,-1.9,UP
1,2,0,-1.9,UP
1,2,1,-1.9,UP
1,2,2,-1.9,UP
1,2,3,-1.9,UP
1,2,4,-1.9,UP
1,2,5,-1.9,DOWN
1,2,6,-1.9,UP
1,2,7,-1.9,UP
1,2,8,-1.9,UP
1,2,9,-1.9,UP
1,3,0,-1.9,UP
1,3,1,-1.9,UP
1,3,2,-1.9,UP
1,3,5,-1.9,UP
1,3,6,-1.9,UP
1,3,7,-1.9,UP
1,3,8,-1.9,UP
1,3,9,-1.9,UP
1,4,0,-1.9,UP
1,4,1,-1.9,UP
1,4,2,-1.9,UP
1,4,4,-1.9,RIGHT
1,4,5,-1.9,UP
1,4,6,-1.9,UP
1,4,7,-1.9,UP
1,4,8,-1.9,UP
1,4,9,-1.9,UP
1,5,6,-1.9,UP
1,5,7,-1.9,UP
1,5,8,-1.9,UP
1,5,9,-1.9,UP
1,6,0,-1.9,DOWN
1,6,1,-1.9,DOWN
1,6,2,-1.9,LEFT
1,6,3,-1.9,DOWN
1,6,4,-1.9,DOWN
1,6,5,-1.9,DOWN
1,6,6,-1.9,UP
1,6,8,-1.9,UP
1,6,9,-1.9,UP
1,7,0,-1.9,UP
1,7,1,-1.9,UP
1,7,3,-1.9,UP
1,7,4,-1.9,UP
1,7,5,-1.9,UP
1,7,6,-1.9,UP
1,7,7,-1.9,DOWN
1,7,8,-1.9,UP
1,7,9,7.1,DOWN
1,8,0,-1.9,UP
1,8,1,-1.9,UP
1,8,2,-1.9,DOWN
1,8,3,-1.9,UP
1,8,4,-1.9,UP
1,8,5,-1.9,UP
1,8,6,-1.9,UP
1,8,7,-1.9,UP
1,8,8,7.1,DOWN
1,8,9,9.0,DOWN
1,9,0,-1.9,UP
1,9,1,-1.9,UP
1,9,2,-1.9,UP
1,9,3,-1.9,UP
1,9,4,-1.9,UP
1,9,5,-1.9,UP
1,9,6,-1.9,UP
1,9,7,7.1,RIGHT
1,9,8,9.0,RIGHT
2,0,0,-2.71,UP
2,0,1,-2.71,UP
2,0,2,-2.71,UP
2,0,3,-2.71,UP
2,0,4,-2.71,UP
2,0,6,-2.71,UP
2,0,7,-2.71,UP
2,0,8,-2.71,UP
2,0,9,-2.71,UP
2,1,0,-2.71,UP
2,1,1,-2.71,UP
2,1,2,-2.71,UP
2,1,3,-2.71,UP
2,1,4,-2.71,UP
2,1,6,-2.71,UP
2,1,7,-2.71,UP
2,1,8,-2.71,UP
2,1,9,-2.71,UP
2,2,0,-2.71,UP
2,2,1,-2.71,UP
2,2,2,-2.71,UP
2,2,3,-2.71,UP
2,2,4,-2.71,UP
2,2,5,-2.71,DOWN
2,2,6,-2.71,UP
2,2,7,-2.71,UP
2,2,8,-2.71,UP
2,2,9,-2.71,UP
2,3,0,-2.71,UP
2,3,1,-2.71,UP
2,3,2,-2.71,UP
2,3,5,-2.71,UP
2,3,6,-2.71,UP
2,3,7,-2.71,UP
2,3,8,-2.71,UP
2,3,9,-2.71,UP
2,4,0,-2.71,UP
2,4,1,-2.71,UP
2,4,2,-2.71,UP
2,4,4,-2.71,RIGHT
2,4,5,-2.71,UP
2,4,6,-2.71,UP
2,4,7,-2.71,UP
2,4,8,-2.71,UP
2,4,9,-2.71,UP
2,5,6,-2.71,UP
2,5,7,-2.71,UP
2,5,8,-2.71,UP
2,5,9,-2.71,UP
2,6,0,-2.71,DOWN
2,6,1,-2.71,DOWN
2,6,2,-2.71,LEFT
2,6,3,-2.71,DOWN
2,6,4,-2.71,DOWN
2,6,5,-2.71,DOWN
2,6,6,-2.71,UP
2,6,8,-2.71,UP
2,6,9,5.39,DOWN
2,7,0,-2.71,UP
2,7,1,-2.71,UP
2,7,3,-2.71,UP
2,7,4,-2.71,UP
2,7,5,-2.71,UP
2,7,6,-2.71,UP
2,7,7,-2.71,DOWN
2,7,8,5.39,DOWN
2,7,9,7.1,DOWN
2,8,0,-2.71,UP
2,8,1,-2.71,UP
2,8,2,-2.71,DOWN
2,8,3,-2.71,UP
2,8,4,-2.71,UP
2,8,5,-2.71,UP
2,8,6,-2.71,UP
2,8,7,5.39,DOWN
2,8,8,7.1,DOWN
2,8,9,9.0,DOWN
2,9,0,-2.71,UP
2,9,1,-2.71,UP
2,9,2,-2.71,UP
2,9,3,-2.71,UP
2,9,4,-2.71,UP
2,9,5,-2.71,UP
2,9,6,5.39,RIGHT
2,9,7,7.1,RIGHT
2,9,8,9.0,RIGHT
3,0,0,-3.439,UP
3,0,1,-3.439,UP
3,0,2,-3.439,UP
3,0,3,-3.439,UP
3,0,4,-3.439,UP
3,0,6,-3.439,UP
3,0,7,-3.439,UP
3,0,8,-3.439,UP
3,0,9,-3.439,UP
3,1,0,-3.439,UP
3,1,1,-3.439,UP
3,1,2,-3.439,UP
3,1,3,-3.439,UP
3,1,4,-3.439,UP
3,1,6,-3.439,UP
3,1,7,-3.439,UP
3,1,8,-3.439,UP
3,1,9,-3.439,UP
3,2,0,-3.439,UP
3,2,1,-3.439,UP
3,2,2,-3.439,UP
3,2,3,-3.439,UP
3,2,4,-3.439,UP
3,2,5,-3.439,DOWN
3,2,6,-3.439,UP
3,2,7,-3.439,UP
3,2,8,-3.439,UP
3,2,9,-3.439,UP
3,3,0,-3.439,UP
3,3,1,-3.439,UP
3,3,2,-3.439,UP
3,3,5,-3.439,UP
3,3,6,-3.439,UP
3,3,7,-3.439,UP
3,3,8,-3.439,UP
3,3,9,-3.439,UP
3,4,0,-3.439,UP
3,4,1,-3.439,UP
3,4,2,-3.439,UP
3,4,4,-3.439,RIGHT
3,4,5,-3.439,UP
3,4,6,-3.439,UP
3,4,7,-3.439,UP
3,4,8,-3.439,UP
3,4,9,-3.439,UP
3,5,6,-3.439,UP
3,5,7,-3.439,UP
3,5,8,-3.439,UP
3,5,9,3.851,DOWN
3,6,0,-3.439,DOWN
3,6,1,-3.439,DOWN
3,6,2,-3.439,LEFT
3,6,3,-3.439,DOWN
3,6,4,-3.439,DOWN
3,6,5,-3.439,DOWN
3,6,6,-3.439,UP
3,6,8,3.851,DOWN
3,6,9,5.39,DOWN
3,7,0,-3.439,UP
3,7,1,-3.439,UP
3,7,3,-3.439,UP
3,7,4,-3.439,UP
3,7,5,-3.439,UP
3,7,6,-3.439,UP
3,7,7,3.851,DOWN
3,7,8,5.39,DOWN
3,7,9,7.1,DOWN
3,8,0,-3.439,UP
3,8,1,-3.439,UP
3,8,2,-3.439,DOWN
3,8,3,-3.439,UP
3,8,4,-3.439,UP
3,8,5,-3.439,UP
3,8,6,3.851,DOWN
3,8,7,5.39,DOWN
3,8,8,7.1,DOWN
3,8,9,9.0,DOWN
3,9,0,-3.439,UP
3,9,1,-3.439,UP
3,9,2,-3.439,UP
3,9,3,-3.439,UP
3,9,4,-3.439,UP
3,9,5,3.851,RIGHT
3,9,6,5.39,RIGHT
3,9,7,7.1,RIGHT
3,9,8,9.0,RIGHT
4,0,0,-4.0951,UP
4,0,1,-4.0951,UP
4,0,2,-4.0951,UP
4,0,3,-4.0951,UP
4,0,4,-4.0951,UP
4,0,6,-4.0951,UP
4,0,7,-4.0951,UP
4,0,8,-4.0951,UP
4,0,9,-4.0951,UP
4,1,0,-4.0951,UP
4,1,1,-4.0951,UP
4,1,2,-4.0951,UP
4,1,3,-4.0951,UP
4,1,4,-4.0951,UP
4,1,6,-4.0951,UP
4,1,7,-4.0951,UP
4,1,8,-4.0951,UP
4,1,9,-4.0951,UP
4,2,0,-4.0951,UP
4,2,1,-4.0951,UP
4,2,2,-4.0951,UP
4,2,3,-4.0951,UP
4,2,4,-4.0951,UP
4,2,5,-4.0951,DOWN
4,2,6,-4.0951,UP
4,2,7,-4.0951,UP
4,2,8,-4.0951,UP
4,2,9,-4.0951,UP
4,3,0,-4.0951,UP
4,3,1,-4.0951,UP
4,3,2,-4.0951,UP
4,3,5,-4.0951,UP
4,3,6,-4.0951,UP
4,3,7,-4.0951,UP
4,3,8,-4.0951,UP
4,3,9,-4.0951,UP
4,4,0,-4.0951,UP
4,4,1,-4.0951,UP
4,4,2,-4.0951,UP
4,4,4,-4.0951,RIGHT
4,4,5,-4.0951,UP
4,4,6,-4.0951,UP
4,4,7,-4.0951,UP
4,4,8,-4.0951,UP
4,4,9,2.4659,DOWN
4,5,6,-4.0951,UP
4,5,7,-4.0951,UP
4,5,8,2.4659,DOWN
4,5,9,3.851,DOWN
4,6,0,-4.0951,DOWN
4,6,1,-4.0951,DOWN
4,6,2,-4.0951,LEFT
4,6,3,-4.0951,DOWN
4,6,4,-4.0951,DOWN
4,6,5,-4.0951,DOWN
4,6,6,-4.0951,UP
4,6,8,3.851,DOWN
4,6,9,5.39,DOWN
4,7,0,-4.0951,UP
4,7,1,-4.0951,UP
4,7,3,-4.0951,UP
4,7,4,-4.0951,UP
4,7,5,-4.0951,UP
4,7,6,2.4659,DOWN
4,7,7,3.851,DOWN
4,7,8,5.39,DOWN
4,7,9,7.1,DOWN
4,8,0,-4.0951,UP
4,8,1,-4.0951,UP
4,8,2,-4.0951,DOWN
4,8,3,-4.0951,UP
4,8,4,-4.0951,UP
4,8,5,2.4659,DOWN
4,8,6,3.851,DOWN
4,8,7,5.39,DOWN
4,8,8,7.1,DOWN
4,8,9,9.0,DOWN
4,9,0,-4.0951,UP
4,9,1,-4.0951,UP
4,9,2,-4.0951,UP
4,9,3,-4.0951,UP
4,9,4,2.4659,RIGHT
4,9,5,3.851,RIGHT
4,9,6,5.39,RIGHT
4,9,7,7.1,RIGHT
4,9,8,9.0,RIGHT
5,0,0,-4.68559,UP
5,0,1,-4.68559,UP
5,0,2,-4.68559,UP
5,0,3,-4.68559,UP
5,0,4,-4.68559,UP
5,0,6,-4.68559,UP
5,0,7,-4.68559,UP
5,0,8,-4.68559,UP
5,0,9,-4.68559,UP
5,1,0,-4.68559,UP
5,1,1,-4.68559,UP
5,1,2,-4.68559,UP
5,1,3,-4.68559,UP
5,1,4,-4.68559,UP
5,1,6,-4.68559,UP
5,1,7,-4.68559,UP
5,1,8,-4.68559,UP
5,1,9,-4.68559,UP
5,2,0,-4.68559,UP
5,2,1,-4.68559,UP
5,2,2,-4.68559,UP
5,2,3,-4.68559,UP
5,2,4,-4.68559,UP
5,2,5,-4.68559,DOWN
5,2,6,-4.68559,UP
5,2,7,-4.68559,UP
5,2,8,-4.68559,UP
5,2,9,-4.68559,UP
5,3,0,-4.68559,UP
5,3,1,-4.68559,UP
5,3,2,-4.68559,UP
5,3,5,-4.68559,UP
5,3,6,-4.68559,UP
5,3,7,-4.68559,UP
5,3,8,-4.68559,UP
5,3,9,1.2193100000000001,DOWN
5,4,0,-4.68559,UP
5,4,1,-4.68559,UP
5,4,2,-4.68559,UP
5,4,4,-4.68559,RIGHT
5,4,5,-4.68559,UP
5,4,6,-4.68559,UP
5,4,7,-4.68559,UP
5,4,8,1.2193100000000001,DOWN
5,4,9,2.4659,DOWN
5,5,6,-4.68559,UP
5,5,7,1.2193100000000001,RIGHT
5,5,8,2.4659,DOWN
5,5,9,3.851,DOWN
5,6,0,-4.68559,DOWN
5,6,1,-4.68559,DOWN
5,6,2,-4.68559,LEFT
5,6,3,-4.68559,DOWN
5,6,4,-4.68559,DOWN
5,6,5,-4.68559,DOWN
5,6,6,1.2193100000000001,DOWN
5,6,8,3.851,DOWN
5,6,9,5.39,DOWN
5,7,0,-4.68559,UP
5,7,1,-4.68559,UP
5,7,3,-4.68559,UP
5,7,4,-4.68559,UP
5,7,5,1.2193100000000001,DOWN
5,7,6,2.4659,DOWN
5,7,7,3.851,DOWN
5,7,8,5.39,DOWN
5,7,9,7.1,DOWN
5,8,0,-4.68559,UP
